2017-08-01	02:40	LOW	1.2
2017-08-01	09:02	HIGH	5.9
2017-08-01	14:47	LOW	1.6
2017-08-01	21:31	HIGH	5.8
2017-08-02	03:42	LOW	1.4
2017-08-02	10:00	HIGH	5.8
2017-08-02	16:04	LOW	1.7
2017-08-02	22:38	HIGH	5.8
2017-08-03	04:55	LOW	1.4
2017-08-03	11:07	HIGH	5.9
2017-08-03	17:31	LOW	1.6
2017-08-03	23:48	HIGH	6.0
2017-08-04	06:03	LOW	1.3
2017-08-04	12:19	HIGH	6.1
2017-08-04	18:38	LOW	1.2
2017-08-05	00:52	HIGH	6.3
2017-08-05	07:06	LOW	1.1
2017-08-05	13:18	HIGH	6.4
2017-08-05	19:38	LOW	0.9
2017-08-06	01:46	HIGH	6.6
2017-08-06	08:02	LOW	0.9
2017-08-06	14:06	HIGH	6.7
2017-08-06	20:32	LOW	0.8
2017-08-07	02:31	HIGH	6.7
2017-08-07	08:51	LOW	0.8
2017-08-07	14:47	HIGH	6.8
2017-08-07	21:20	LOW	0.7
2017-08-08	03:11	HIGH	6.8
2017-08-08	09:35	LOW	0.8
2017-08-08	15:25	HIGH	6.8
2017-08-08	22:05	LOW	0.7
2017-08-09	03:48	HIGH	6.9
2017-08-09	10:15	LOW	0.8
2017-08-09	15:59	HIGH	6.9
2017-08-09	22:47	LOW	0.6
2017-08-10	04:24	HIGH	7.0
2017-08-10	10:54	LOW	0.7
2017-08-10	16:33	HIGH	6.9
2017-08-10	23:26	LOW	0.5
2017-08-11	04:59	HIGH	7.0
2017-08-11	11:31	LOW	0.7
2017-08-11	17:06	HIGH	6.9
2017-08-12	00:02	LOW	0.5
2017-08-12	05:34	HIGH	6.9
2017-08-12	12:04	LOW	0.7
2017-08-12	17:40	HIGH	6.8
2017-08-13	00:31	LOW	0.6
2017-08-13	06:11	HIGH	6.8
2017-08-13	12:35	LOW	0.9
2017-08-13	18:17	HIGH	6.7
2017-08-14	00:57	LOW	0.8
2017-08-14	06:51	HIGH	6.6
2017-08-14	13:08	LOW	1.0
2017-08-14	18:58	HIGH	6.6
2017-08-15	01:28	LOW	0.9
2017-08-15	07:37	HIGH	6.4
2017-08-15	13:47	LOW	1.2
2017-08-15	19:48	HIGH	6.4
2017-08-16	02:13	LOW	1.1
2017-08-16	08:34	HIGH	6.2
2017-08-16	14:42	LOW	1.4
2017-08-16	20:54	HIGH	6.2
2017-08-17	03:23	LOW	1.2
2017-08-17	09:48	HIGH	6.1
2017-08-17	16:04	LOW	1.4
2017-08-17	22:22	HIGH	6.2
2017-08-18	04:51	LOW	1.2
2017-08-18	11:09	HIGH	6.2
2017-08-18	17:34	LOW	1.2
2017-08-18	23:43	HIGH	6.4
2017-08-19	06:12	LOW	1.1
2017-08-19	12:28	HIGH	6.5
2017-08-19	19:00	LOW	0.9
2017-08-20	00:58	HIGH	6.7
2017-08-20	07:37	LOW	0.9
2017-08-20	13:33	HIGH	6.8
2017-08-20	20:20	LOW	0.6
2017-08-21	02:01	HIGH	7.0
2017-08-21	08:42	LOW	0.7
2017-08-21	14:26	HIGH	7.0
2017-08-21	21:21	LOW	0.3
2017-08-22	02:52	HIGH	7.3
2017-08-22	09:35	LOW	0.5
2017-08-22	15:11	HIGH	7.2
2017-08-22	22:11	LOW	0.1
2017-08-23	03:38	HIGH	7.4
2017-08-23	10:21	LOW	0.5
2017-08-23	15:53	HIGH	7.2
2017-08-23	22:56	LOW	0.1
2017-08-24	04:21	HIGH	7.3
2017-08-24	11:02	LOW	0.5
2017-08-24	16:31	HIGH	7.2
2017-08-24	23:34	LOW	0.1
2017-08-25	05:00	HIGH	7.3
2017-08-25	11:37	LOW	0.6
2017-08-25	17:08	HIGH	7.2
2017-08-26	00:06	LOW	0.3
2017-08-26	05:37	HIGH	7.1
2017-08-26	12:04	LOW	0.8
2017-08-26	17:44	HIGH	7.0
2017-08-27	00:29	LOW	0.6
2017-08-27	06:11	HIGH	6.8
2017-08-27	12:25	LOW	0.9
2017-08-27	18:19	HIGH	6.7
2017-08-28	00:48	LOW	0.8
2017-08-28	06:45	HIGH	6.5
2017-08-28	12:49	LOW	1.1
2017-08-28	18:55	HIGH	6.4
2017-08-29	01:11	LOW	1.0
2017-08-29	07:19	HIGH	6.2
2017-08-29	13:18	LOW	1.3
2017-08-29	19:36	HIGH	6.0
2017-08-30	01:43	LOW	1.3
2017-08-30	08:01	HIGH	5.9
2017-08-30	13:55	LOW	1.6
2017-08-30	20:32	HIGH	5.8
2017-08-31	02:29	LOW	1.6
2017-08-31	08:59	HIGH	5.7
2017-08-31	14:52	LOW	1.8
2017-08-31	21:49	HIGH	5.6
